id,time,transfers,min_cost,frequency
1,8.55,0,71,7
1,12.5,2,60,5
1,7.25,1,60,7
1,7.2,0,78,7
2,4.14,0,51,7
2,10.45,1,40,7
2,5.45,1,40,7
3,5.55,1,47,5
3,9.4,1,47,5
3,6.05,2,47,7
4,8.3,1,58,5
4,6.05,1,58,2
5,1.54,0,49,7
5,1.55,0,29,7
5,1.3,0,33,7
5,2,0,30,3
5,1.35,0,29,2
7,5,0,41,7
8,8.55,1,40,6
8,1.4,0,25,7
8,1.35,0,19,7
8,7.35,1,30,6
8,7.35,1,30,6
8,5.25,1,30,5
9,4,0,69,7
9,4.15,0,51,7
9,4.15,0,54,6
9,4.1,0,48,3
9,4.3,1,68,1
9,4.3,0,51,1
9,3.5,1,54,2
9,4.5,1,54,2
10,7.54,1,112,7
10,8.10,1,87,7
11,5.57,0,55,7
11,11.2,1,47,5
11,5.55,2,47,5
11,4.54,0,69,7
