id,time,transfers,min_cost,frequency
2,6,0,46,4
2,8.3,1,62,2
2,6.15,0,53,4
3,3.5,1,34,3
3,3.4,0,54,5
3,7,1,34,4
3,4.45,1,45,3
3,7.15,1,45,1
4,9.35,1,49,5
4,7.2,1,46,5
4,9.5,1,46,2
5,9.4,1,66,4
5,8.4,0,66,5
5,10.45,1,102,1
5,9.15,0,68,7
5,9.19,0,85,7
6,8.55,1,71,7
6,8,1,60,7
6,7.2,0,78,7
6,12.45,2,72,2
7,10.15,1,62,4
8,10.45,0,71,7
8,9.4,1,60,7
8,12.1,1,60,6
8,16.2,1,72,6
9,10.25,0,66,5
9,12,1,77,4
9,11.15,0,68,7
9,11.25,0,87,7
9,12.45,1,116,1
10,15.19,1,130,7
11,2.05,0,40,4
11,2.35,0,39,7
11,2.3,0,44,4
11,2.05,0,42,7
11,2.19,0,53,7
