id,time,transfers,min_cost,frequency
1,11.1,0,66,5
1,11.15,0,87,7
1,11.3,0,87,7
2,8.04,1,62,7
2,10.2,1,82,2
2,7.05,0,66,7
3,8.2,0,62,5
3,11.4,1,62,5
3,9.55,1,62,7
4,6.55,1,53,4
5,1.5,0,33,5
5,1.4,0,57,5
5,2.25,0,34,7
5,1.55,0,34,7
5,2,0,30,4
5,2.15,0,20,5
5,1.5,0,32,7
5,2.15,0,32,7
5,2.2,0,32,5
5,1.55,0,49,6
5,1.49,0,49,7
5,2.4,0,29,1
6,4.25,0,54,7
6,4.4,0,48,3
6,7.25,1,53,7
6,4.15,0,51,7
6,4.9,0,69,7
6,4.45,1,35,2
7,10.3,0,70,7
8,3.5,0,46,6
8,4.5,1,45,4
8,3.45,0,40,7
8,9.15,1,37,7
8,3.4,1,44,6
10,2.49,0,36,7
10,2.5,0,36,7
10,2.34,0,36,6
11,10,0,68,5
11,9.45,1,72,5
11,9.04,0,84,7
