id,time,transfers,min_cost,frequency
1,9.1,0,66,5
1,8.4,0,68,7
1,9.3,0,87,7
2,5.29,1,47,7
2,7.45,1,67,1
2,5.05,0,55,7
3,5.55,0,57,5
3,9.4,1,62,5
3,7.2,1,62,7
4,4,0,52,2
4,4.15,0,52,2
6,1.4,0,33,7
6,2,0,30,3
6,4.5,1,34,7
6,1.45,0,38,7
6,2.09,0,50,7
6,2,0,34,2
7,7.45,0,64,7
8,7,1,40,6
8,1.5,0,28,4
8,6.4,1,26,7
8,1.35,0,32,6
9,2.05,0,50,7
9,2.3,0,20,5
9,2.05,0,31,7
9,2.3,0,29,6
9,2.05,0,32,7
9,2.3,0,35,6
9,1.35,0,33,5
9,2.05,0,42,5
9,1.55,0,30,3
9,1.5,0,44,7
9,1.35,0,27,6
9,2.45,0,32,1
10,5.59,1,63,7
10,8.2,1,53,5
10,6,1,53,7
10,9.04,1,53,6
10,6.04,1,53,6
11,7.35,0,61,5
11,7.1,1,65,5
11,7.04,0,78,7
