id,time,transfers,min_cost,frequency
1,7.3,1,56,4
1,9.3,1,49,5
1,13.3,1,49,2
1,13.3,2,49,2
1,13.3,2,49,2
2,8,1,59,4
2,10.19,2,50,2
2,12.35,2,50,2
3,2.3,0,41,5
3,10.2,1,26,2
3,10.2,1,26,2
3,12.1,2,36,2
5,3.5,0,41,2
5,8.55,1,52,3
5,10.15,1,52,5
5,4.1,0,50,2
6,5.55,1,58,2
6,9.4,2,58,2
6,9,2,69,5
6,12,2,69,2
7,12,1,105,2
8,6.5,1,56,2
8,11.3,2,64,2
8,10.4,2,64,5
8,13.1,2,64,4
8,7.05,1,64,2
9,7,1,53,2
9,11.15,1,53,3
9,12.15,1,53,5
9,6.35,1,53,2
10,13.34,2,106,2
11,12,1,29,2
11,12,1,29,2
11,12,2,36,2
11,4.2,0,53,5
